run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,conflict_waypoint_visitation_radius_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,emergency_shares_full_route,communication_period_steps,communication_period_s,communication_frequency_hz,communication_delay_steps,communication_delay_s,configured_packet_loss_probability,transmitted_packets,application_payload_total_bytes,mean_packet_payload_bytes,maximum_packet_payload_bytes,aggregate_application_bandwidth_kbps,mean_uav_application_bandwidth_kbps,maximum_uav_application_bandwidth_kbps,receiver_delivery_attempts,receiver_dropped_packets,receiver_delivered_packets,observed_receiver_packet_loss_ratio,mean_information_age_s,maximum_information_age_s,localization_sigma_xy_m,localization_sigma_z_m,mean_rms_acceleration_m_s2,mean_conflict_rms_acceleration_m_s2,theoretical_max_speed_m_s,maximum_observed_speed_m_s,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,3,True,948,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2844,215496,75.77215189873418,81,12.12354430379747,4.041181434599157,4.32,5688,0,5688,0.0,0.0,0.0,0.0,0.0,0.34913567557189584,1.6203388422421652,0.4301162633521313,0.4301162633521314,11.200394064998724,D1-D2,398,1.0,False,0.48583905827333973,0.7944547214744077,2.1768679867317413,4.353735973463483,1.0448359138390366,3,2
2,1002,3,True,948,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2844,215484,75.76793248945148,81,12.122869198312237,4.0409563994374125,4.32,5688,0,5688,0.0,0.0,0.0,0.0,0.0,0.3346358838683792,1.544696543487393,0.4301162633521313,0.4301162633521314,11.203897176569091,D1-D2,401,1.0,False,0.4828004542579376,0.7892432065659767,2.132870931456649,4.265741862913298,1.0436218087139464,3,2
3,1003,3,True,950,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2850,215874,75.74526315789474,81,12.119242105263158,4.039747368421053,4.32,5700,0,5700,0.0,0.0,0.0,0.0,0.0,0.3568922848127314,1.6609350931924196,0.4301162633521313,0.4301162633521314,11.206029170339384,D1-D2,401,1.0,False,0.49086731213157536,0.7875773514055617,2.0759382648770117,4.1518765297540225,1.0440443852833048,3,2
4,1004,3,True,945,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2835,214935,75.81481481481481,81,12.13037037037037,4.043456790123457,4.32,5670,0,5670,0.0,0.0,0.0,0.0,0.0,0.3306815812674267,1.5260081676189776,0.4301162633521313,0.4301162633521314,11.211712731468719,D1-D2,398,1.0,False,0.48049618730267646,0.8025090230775183,2.228787265503742,4.4575745310074835,1.0419369961611538,3,2
5,1005,3,True,950,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2850,215862,75.74105263157895,81,12.118568421052633,4.039522807017544,4.32,5700,0,5700,0.0,0.0,0.0,0.0,0.0,0.36592239148997424,1.7083114518836717,0.4301162633521313,0.4301162633521314,11.207994579150434,D1-D2,400,1.0,False,0.491018061017099,0.7939927937981861,2.082309832922542,4.164619665845084,1.0445308163930094,3,2
6,1006,3,True,944,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2832,214752,75.83050847457628,81,12.132881355932204,4.044293785310735,4.32,5664,0,5664,0.0,0.0,0.0,0.0,0.0,0.3262163371540418,1.5034931008838466,0.4301162633521313,0.4301162633521314,11.223889473187647,D1-D2,398,1.0,False,0.4859149436588706,0.8145019925851562,2.2073435137707396,4.414687027541478,1.0420072657656632,3,2
7,1007,3,True,944,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2832,214740,75.82627118644068,81,12.13220338983051,4.04406779661017,4.32,5664,0,5664,0.0,0.0,0.0,0.0,0.0,0.3351934201671014,1.5504105234749275,0.4301162633521313,0.4301162633521314,11.22368274099351,D1-D2,401,1.0,False,0.4835725707372244,0.8127714588792465,2.2476684894623364,4.495336978924673,1.0419289284103406,3,2
8,1008,3,True,947,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2841,215301,75.78352692713833,81,12.125364308342133,4.041788102780711,4.320000000000001,5682,0,5682,0.0,0.0,0.0,0.0,0.0,0.32868878631837783,1.5160208688063124,0.4301162633521313,0.4301162633521314,11.20498945390189,D1-D2,400,1.0,False,0.48424012511468895,0.796128073290337,2.1855276847467593,4.371055369493519,1.043118230425271,3,2
9,1009,3,True,948,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2844,215484,75.76793248945148,81,12.122869198312237,4.0409563994374125,4.32,5688,0,5688,0.0,0.0,0.0,0.0,0.0,0.33087157751222146,1.5247418131123978,0.4301162633521313,0.4301162633521314,11.210282963293448,D1-D2,398,1.0,False,0.4841336141977578,0.7934936779393387,2.1652928803094067,4.330585760618813,1.0439160664423042,3,2
10,1010,3,True,943,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,2829,214569,75.84623541887593,81,12.13539766702015,4.0451325556733835,4.32,5658,0,5658,0.0,0.0,0.0,0.0,0.0,0.31322432037374726,1.4344699086810633,0.4301162633521313,0.4301162633521314,11.218558705762288,D1-D2,397,1.0,False,0.48719211729580203,0.8227665420386171,2.2512556408241258,4.502511281648251,1.0412295469993151,3,2
