run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
2,1002,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
3,1003,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
4,1004,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
5,1005,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
6,1006,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
7,1007,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
8,1008,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
9,1009,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
10,1010,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
11,1011,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
12,1012,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
13,1013,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
14,1014,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
15,1015,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
16,1016,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
17,1017,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
18,1018,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
19,1019,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
20,1020,6,True,744,False,20,0,0.05,0.0,4,8.0,0.5,4.0,0,5,5,0.003535533905840199,D1-D4,381,1.0,True,9.379149209714572e-18,5.09591858977673e-17,4.440892098500626e-16,4.440892098500626e-16,1.0000000000000044,4,4
