run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,7,True,1092,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200697840358768,D7-D8,325,1.0,False,5.668947693461435,7.077391448244133,11.432720879045444,11.435408022518763,1.4558439868677557,10,10
2,1002,7,True,1091,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.199981019733018,D5-D6,324,1.0,False,5.673876548383676,7.08086182789012,11.434618554107525,11.437507672247621,1.4546582941219088,10,10
3,1003,7,True,1079,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.199316788344093,D9-D10,313,1.0,False,5.738479836862915,7.120090819746946,11.432787697792829,11.434629608503005,1.4386308616649033,10,10
4,1004,7,True,1093,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201476031234912,D1-D10,325,1.0,False,5.664125048017513,7.075035827321282,11.434063968252495,11.438027974844488,1.4560767435572364,10,10
5,1005,7,True,1121,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201608123000163,D4-D5,353,1.0,False,5.523158129010263,6.985393076402528,11.432276692700352,11.434009375676155,1.4937250742739188,10,10
6,1006,7,True,1111,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200782391835037,D5-D6,344,1.0,False,5.5728574667533435,7.016570504745104,11.432383296404364,11.435606897023924,1.4807218184915136,10,10
7,1007,7,True,1073,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201012925302673,D2-D3,306,1.0,False,5.768766137826346,7.14014674250816,11.433390570939032,11.435449311461655,1.4312235955973214,10,10
8,1008,7,True,1078,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200994542701983,D5-D6,310,1.0,False,5.7434003326077505,7.123251929295799,11.432368382028859,11.437144981871361,1.4373284543051248,10,10
9,1009,7,True,1079,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200913186353824,D4-D5,311,1.0,False,5.742205077627927,7.12357795340818,11.434280476351406,11.436055575683953,1.4386650469462998,10,10
10,1010,7,True,1084,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201889058473201,D5-D6,317,1.0,False,5.710528220961114,7.103387633486392,11.432630516865697,11.434249568833076,1.4453805438688256,10,10
11,1011,7,True,1071,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200902829633225,D8-D9,305,1.0,False,5.779395242613062,7.146535133609784,11.433123260388161,11.434934553314088,1.428409429832573,10,10
12,1012,7,True,1078,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200310019755004,D8-D9,311,1.0,False,5.744797077776733,7.123842170551316,11.433004538119766,11.434770828840868,1.437211048682449,10,10
13,1013,7,True,1076,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201491183651697,D9-D10,308,1.0,False,5.753548019644749,7.129664370823514,11.431479246664358,11.435229991732607,1.4346485944135945,10,10
14,1014,7,True,1084,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200206021900764,D1-D2,320,1.0,False,5.711008990023256,7.103526263778605,11.433726875395887,11.435338326870495,1.4453256135787138,10,10
15,1015,7,True,1087,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200415114091857,D4-D5,321,1.0,False,5.695614075384175,7.093798745328582,11.432240463087714,11.437557971125106,1.4491720177847434,10,10
16,1016,7,True,1103,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.20147711916483,D3-D4,338,1.0,False,5.611631293305548,7.041918160128157,11.43270566542446,11.43538466719784,1.47041202927189,10,10
17,1017,7,True,1103,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.2006187013242124,D6-D7,339,1.0,False,5.6123002602785785,7.041972190302121,11.432739956718482,11.435834554494818,1.4703189870390436,10,10
18,1018,7,True,1064,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200719628824833,D6-D7,296,1.0,False,5.817853817412898,7.169718208158187,11.432367049160277,11.434224590486826,1.4190550858792665,10,10
19,1019,7,True,1071,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.199392455156709,D3-D4,303,1.0,False,5.780862313023776,7.1476283008020065,11.434114891943748,11.437082892608775,1.4275147535269892,10,10
20,1020,7,True,1062,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.198948891595731,D4-D5,295,1.0,False,5.828493336369282,7.176558930879833,11.43297603911434,11.436703237559552,1.416463589412905,10,10
21,1021,7,True,1074,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201257402053354,D2-D3,306,1.0,False,5.765237314047988,7.136744382405349,11.432677800618313,11.435582855918817,1.4320334900749405,10,10
22,1022,7,True,1061,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201173440448013,D7-D8,293,1.0,False,5.83614512626429,7.180503340230521,11.432126349057757,11.434769104476908,1.414963962179971,10,10
23,1023,7,True,1109,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201712499286681,D1-D10,342,1.0,False,5.584487733433669,7.024747033666792,11.432521180322338,11.435308224537318,1.477843482078832,10,10
24,1024,7,True,1073,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200370739341923,D1-D2,305,1.0,False,5.770392928825798,7.141171944222124,11.432351672858847,11.435018124340164,1.430170108794774,10,10
25,1025,7,True,1087,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.20151292364009,D9-D10,319,1.0,False,5.697888991097796,7.095580019216195,11.432880204132568,11.435469358699697,1.4489434507851642,10,10
26,1026,7,True,1082,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.199433878047475,D1-D2,315,1.0,False,5.720570479156093,7.110235643526598,11.433387117341884,11.434963064331312,1.442930541403496,10,10
27,1027,7,True,1071,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201101645096167,D9-D10,303,1.0,False,5.780938524400011,7.146608440091382,11.432623749329892,11.434620663924505,1.4279870453735266,10,10
28,1028,7,True,1074,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.200761291771319,D3-D4,308,1.0,False,5.763271770111307,7.136385239790092,11.43392290438418,11.437977270191617,1.4322126432978588,10,10
29,1029,7,True,1095,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.20090601572488,D5-D6,328,1.0,False,5.654148012311319,7.06789663524702,11.433760361331746,11.435222735908289,1.459697403077178,10,10
30,1030,7,True,1098,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.202037900764308,D8-D9,331,1.0,False,5.638069995221813,7.058493113429803,11.432943311825001,11.437813940416534,1.4638694174453744,10,10
31,1031,7,True,1108,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.201310759165355,D5-D6,340,1.0,False,5.590104797995325,7.028750862709698,11.433440859286982,11.43660300310578,1.4764054245788654,10,10
