run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.996389426416725,D1-D4,475,1.0,False,0.02513605213673904,0.05073995679055957,0.23551757200982879,0.25119209871149994,1.0713346167059423,4,3
2,1002,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.997320346626955,D1-D4,475,1.0,False,0.030119489428958274,0.06267651869404313,0.27796205587415806,0.32350691149382066,1.0710104684896207,4,3
3,1003,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.007604331185966,D1-D4,476,1.0,False,0.02698814457256271,0.057618720415268526,0.2997493821535368,0.3123271406644981,1.0705635613302285,4,3
4,1004,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.998710242030086,D1-D4,475,1.0,False,0.027065782730948115,0.056161126874585854,0.2880809951657031,0.3269337308748262,1.07105139278315,4,3
5,1005,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.995719668112795,D1-D4,476,1.0,False,0.029636039226742936,0.062052155460685175,0.3139853802945004,0.379884354895238,1.071662068661492,4,3
6,1006,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.989471035334144,D1-D4,475,1.0,False,0.026238636624272175,0.05645340627425454,0.28002691985536193,0.3710228341771986,1.0706461842028914,4,3
7,1007,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.001624656587458,D1-D4,474,1.0,False,0.02833147165185053,0.059366646719751524,0.2770959796684793,0.30014169950751285,1.070740261204319,4,3
8,1008,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.997265071643065,D1-D4,474,1.0,False,0.030840709673569732,0.0620868625352785,0.285687859252363,0.3283038759755174,1.0709938352165613,4,3
9,1009,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.004579623419723,D1-D4,475,1.0,False,0.029154311826773967,0.060653851522195684,0.24931460828033458,0.2886885306997186,1.0707155233710393,4,3
10,1010,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.998563145858538,D1-D4,476,1.0,False,0.030374807676393768,0.06418788147724264,0.29416562792860096,0.352082225635728,1.0711864032869916,4,3
11,1011,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.009270621134124,D1-D4,473,1.0,False,0.0316332381491814,0.06514751898281879,0.3216664662113347,0.3645005550202263,1.0713297493286056,4,3
12,1012,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.004955179538877,D1-D4,477,1.0,False,0.032253878449832775,0.06390378812725617,0.27314785189775936,0.30079618507193806,1.0704781036097037,4,3
13,1013,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.012926512618504,D1-D4,478,1.0,False,0.0330516286928833,0.06511450947155333,0.30305543923838635,0.3323789742376023,1.071900748912318,4,3
14,1014,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.007936499739014,D1-D4,478,1.0,False,0.02681892055744599,0.05453457042409441,0.2403892564517667,0.2606872622646318,1.0710337926561424,4,3
15,1015,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.01305703901261,D1-D4,479,1.0,False,0.02743656032031405,0.05642321259788934,0.2552322942722552,0.2678647277347105,1.070945551639982,4,3
16,1016,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.995587487070775,D1-D4,478,1.0,False,0.03153730434680289,0.06836629526127135,0.3083899356463508,0.3440075606419907,1.0719929329269107,4,3
17,1017,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,9.994910637876327,D1-D4,472,1.0,False,0.031071047554542125,0.06285085688248183,0.3038399155558639,0.3381162704637555,1.0702119659312115,4,3
18,1018,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.00367806421471,D1-D4,476,1.0,False,0.031200996000137784,0.06360488491398991,0.2787546780282758,0.3841348312446002,1.069805065109272,4,3
19,1019,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.000361564905651,D1-D4,474,1.0,False,0.02916230959353504,0.06117512698443647,0.28477658874081013,0.3528622377100499,1.0707929790107824,4,3
20,1020,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.02349425080901,D1-D4,476,1.0,False,0.028618680867407376,0.06076124154870404,0.27904526045579053,0.2912995506507447,1.0708360606461047,4,3
21,1021,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.022940401507979,D1-D4,476,1.0,False,0.02943773568731352,0.06029765717321365,0.28020215578915414,0.3454160692008416,1.0708042119172891,4,3
22,1022,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.002433975942814,D1-D4,475,1.0,False,0.030654655278065893,0.06305311504288519,0.2710185147147141,0.34563804417965477,1.0708026463002642,4,3
23,1023,1,True,935,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,10.002321176333043,D1-D4,478,1.0,False,0.030610071711336173,0.06334642017320591,0.2785176551768503,0.321283444127255,1.070489148884636,4,3
