run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,6,True,939,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.569125039487904,D2-D3,433,1.0,False,2.4116851396192236,3.2147299022321136,5.882153948937762,7.526318301070026,1.2867191524176607,4,4
2,1002,6,True,962,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.107374737830375,D2-D4,454,1.0,False,2.446573010614199,3.2245299353895565,5.903939974889118,7.770371265350455,1.287652530412277,4,4
3,1003,6,True,986,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.258421470626024,D1-D3,445,1.0,False,2.586496750834268,3.3165713384170807,6.065499151399225,8.059994121745111,1.316780427021377,4,4
4,1004,6,True,957,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.47828181865829,D2-D3,440,1.0,False,2.476022008476642,3.224179820882749,5.892838048009393,7.814268498567283,1.2855269182089901,4,4
5,1005,6,True,976,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.029665563180506,D1-D3,452,1.0,False,2.45980796408074,3.22218653280563,5.971420251486737,7.71607263478867,1.3002852189812655,4,4
6,1006,6,True,908,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,6.0085864097639385,D1-D2,339,1.0,False,2.3616881178728066,3.1430866967382287,5.60576454011466,7.081044373402421,1.262661724452225,4,4
7,1007,6,True,908,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.722147660318181,D1-D2,344,1.0,False,2.385032965490805,3.160439861358718,5.632991833599849,7.09109018752881,1.2646777422718147,4,4
8,1008,6,True,964,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.183796024596831,D2-D4,444,1.0,False,2.6012458337896396,3.3543962297085184,6.105694770309126,7.898919966829723,1.2956371951685297,4,4
9,1009,6,True,940,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.5258893488867145,D2-D3,433,1.0,False,2.294402784960595,3.0885023623383896,5.636438271505178,7.079763063399508,1.2768644190327996,4,4
10,1010,6,True,942,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.497638468765225,D1-D4,436,1.0,False,2.282260775576855,3.066211969543236,5.622960645638479,7.079957602192949,1.2886660074633607,4,4
11,1011,6,True,960,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.168940153842489,D1-D3,444,1.0,False,2.479049684050479,3.233128555547526,5.875033742823392,7.954512682112445,1.2772775164540278,4,4
12,1012,6,True,973,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.211658338741458,D3-D4,592,1.0,False,2.558630967734147,3.3018632319273022,6.054401247214772,8.088450442468135,1.3128449614276232,4,4
13,1013,6,True,953,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.47751249586544,D2-D3,433,1.0,False,2.4824955537197706,3.217145799428568,5.8536696613481425,7.874001191027,1.283474567327766,4,4
14,1014,6,True,956,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.13677634802759,D1-D3,447,1.0,False,2.457994055885254,3.23437539335739,5.956125680230569,7.792015918864158,1.2851292718412273,4,4
15,1015,6,True,966,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.0453094669797425,D1-D3,450,1.0,False,2.4692005365613623,3.216516570877893,5.9236965023515005,7.777530948058371,1.3000200160731465,4,4
16,1016,6,True,939,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.495896723011203,D1-D4,435,1.0,False,2.305639067735229,3.0977011939011088,5.623141461397224,7.084106275668348,1.2759505683843102,4,4
17,1017,6,True,960,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.172351240038678,D1-D3,446,1.0,False,2.4671872794458,3.221925991003548,5.852076254216833,7.92402319267528,1.2760699816904633,4,4
18,1018,6,True,976,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.02089494696772,D1-D3,451,1.0,False,2.4484259528377628,3.2158720534142375,5.804745182389187,7.763551718133107,1.2860149184148466,4,4
19,1019,6,True,982,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.3528260361827185,D3-D4,585,1.0,False,2.6546452091592156,3.399375959860243,5.964198050738831,8.290044449439861,1.3081233981882683,4,4
20,1020,6,True,951,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.295326689015922,D3-D4,586,1.0,False,2.728646702564093,3.454631587733101,6.372959463865894,9.28997652467032,1.2954519847352362,4,4
21,1021,6,True,958,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.334594299216325,D3-D4,591,1.0,False,2.7833989139312947,3.490313936661545,6.445951529418096,9.461868419846285,1.3000058672756063,4,4
22,1022,6,True,938,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.512774215186723,D1-D4,436,1.0,False,2.3045947168166743,3.0966602994399555,5.6321325320337365,7.084054356255726,1.276688292823685,4,4
23,1023,6,True,961,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.339679263170917,D3-D4,593,1.0,False,2.784240815120361,3.4886121615927186,6.424317849881332,9.472316764787381,1.2994176890104034,4,4
24,1024,6,True,945,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.465977812535745,D1-D4,438,1.0,False,2.2839046315554623,3.0701384678043944,5.67813790953632,7.076334151822456,1.291364895486307,4,4
25,1025,6,True,925,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,5.587121381307288,D1-D3,442,1.0,False,2.5948545132893526,3.3308720972436205,5.998531489002026,7.788940023473655,1.281064940691188,4,4
