run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,2,True,1003,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.21803380858991,D1-D2,477,1.0,False,0.657671814488563,1.202366622207756,3.2296109716965518,6.8944699298422085,1.069541363725718,4,4
2,1002,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.104292752282221,D1-D2,479,1.0,False,0.6570502912721982,1.2021560652581504,3.2285543856169125,6.8962294135680695,1.0724676059964104,4,4
3,1003,2,True,998,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.2048359992200535,D1-D2,476,1.0,False,0.656948471772939,1.2035470560843566,3.251049353111191,6.93254809563053,1.068571192205072,4,4
4,1004,2,True,1004,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.120990373669649,D1-D2,479,1.0,False,0.6572213436245593,1.2014540722076559,3.2285227602686497,6.89850163165661,1.0706133080913256,4,4
5,1005,2,True,1013,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.294490381008645,D1-D2,473,1.0,False,0.647581007117576,1.1914337763896947,3.2496141882197054,6.904433861367794,1.071933356161831,4,4
6,1006,2,True,1009,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.109486053334903,D1-D2,479,1.0,False,0.6534628544362489,1.196044352816175,3.235657499102474,6.8839111794751515,1.0720307367621777,4,4
7,1007,2,True,997,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.289976680701658,D1-D2,472,1.0,False,0.6582175875037056,1.2041062161907714,3.2333718123990742,6.901431506487605,1.0673396922610598,4,4
8,1008,2,True,1006,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,3.608904277379685,D1-D2,491,1.0,False,0.6192912098935694,1.1363034121257303,3.028622558064109,6.931716886523058,1.0721766419781977,4,4
9,1009,2,True,1007,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.203576070399772,D1-D2,476,1.0,False,0.6527113072623099,1.1968513769859468,3.2173518061580992,6.8778650601717395,1.0710074436893717,4,4
10,1010,2,True,1003,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.181537526505845,D1-D2,477,1.0,False,0.6549224836639902,1.1988382246976634,3.2236455659344436,6.906520560178384,1.0702830514484996,4,4
11,1011,2,True,1000,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.296485320023294,D1-D2,475,1.0,False,0.6555399855161823,1.1976683217457824,3.218467286551931,6.907613107487785,1.068317708838495,4,4
12,1012,2,True,1006,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.158015455561991,D1-D2,477,1.0,False,0.6550615590443098,1.1986576802185027,3.2437258711810717,6.903308779231835,1.0706109430292474,4,4
13,1013,2,True,997,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.199533875569348,D1-D2,476,1.0,False,0.660908610042107,1.206446076579314,3.233650190915644,6.91159430691752,1.0677205187079366,4,4
14,1014,2,True,1001,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.294447284563015,D1-D2,474,1.0,False,0.6509834541748554,1.1938901355662064,3.2212121736758155,6.913576259817431,1.0684192283989904,4,4
15,1015,2,True,998,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,0.05,5,5,4.274037784560715,D1-D2,474,1.0,False,0.6586469072680705,1.2043614378176906,3.2436673768235478,6.928300887602688,1.0676439371370376,4,4
