run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,conflict_waypoint_visitation_radius_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,emergency_shares_full_route,communication_period_steps,communication_period_s,communication_frequency_hz,communication_delay_steps,communication_delay_s,configured_packet_loss_probability,transmitted_packets,application_payload_total_bytes,mean_packet_payload_bytes,maximum_packet_payload_bytes,aggregate_application_bandwidth_kbps,mean_uav_application_bandwidth_kbps,maximum_uav_application_bandwidth_kbps,receiver_delivery_attempts,receiver_dropped_packets,receiver_delivered_packets,observed_receiver_packet_loss_ratio,mean_information_age_s,maximum_information_age_s,localization_sigma_xy_m,localization_sigma_z_m,mean_rms_acceleration_m_s2,mean_conflict_rms_acceleration_m_s2,theoretical_max_speed_m_s,maximum_observed_speed_m_s,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,6,True,939,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3756,341580,90.94249201277955,273,19.401064962726306,4.850266240681576,5.763578274760383,11268,0,11268,0.0,0.0,0.0,0.0,0.0,1.2717677760223753,1.8593221256967476,0.4301162633521313,0.4301162633521314,4.569125039487904,D2-D3,433,1.0,False,2.404995823877221,3.2120819303615225,5.882153948937762,7.526318301070026,1.286795241769078,4,4
2,1002,6,True,962,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3848,347976,90.43035343035343,273,19.291808731808736,4.822952182952184,5.673180873180875,11544,0,11544,0.0,0.0,0.0,0.0,0.0,1.1674938640687353,1.7753449267193144,0.4301162633521313,0.4301162633521314,4.107374737830375,D2-D4,454,1.0,False,2.4363681730728954,3.2214686611858667,5.90407047185636,7.772604521340267,1.2875401346928332,4,4
3,1003,6,True,986,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3944,349020,88.49391480730223,273,18.87870182555781,4.719675456389452,5.499391480730223,11832,0,11832,0.0,0.0,0.0,0.0,0.0,1.1505163767770377,1.702280485945561,0.4301162633521313,0.4301162633521314,4.258421470626024,D1-D3,445,1.0,False,2.5823750682744673,3.3156405911080835,6.065715681860604,8.060860243590632,1.3167842488233732,4,4
4,1004,6,True,957,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3828,343740,89.7962382445141,273,19.156530825496347,4.789132706374087,5.657513061650993,11484,0,11484,0.0,0.0,0.0,0.0,0.0,1.2146735214898943,1.793487060504337,0.4301162633521313,0.4301162633521314,4.47828181865829,D2-D3,440,1.0,False,2.4736589745125355,3.223499153788656,5.892838048009393,7.814268498567283,1.2855484440966602,4,4
5,1005,6,True,976,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3904,349380,89.49282786885246,273,19.091803278688523,4.772950819672131,5.546885245901639,11712,0,11712,0.0,0.0,0.0,0.0,0.0,1.138647448263175,1.7303384484057034,0.4301162633521313,0.4301162633521314,4.029665563180506,D1-D3,452,1.0,False,2.4492893619220792,3.2198260772524154,5.97135742079098,7.716048905493456,1.3004267694266165,4,4
6,1006,6,True,907,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3628,336168,92.6593164277839,273,19.767320837927237,4.941830209481809,5.873076074972437,10884,0,10884,0.0,0.0,0.0,0.0,0.0,1.2268792747591881,1.792589097760549,0.4301162633521313,0.4301162633521314,6.0085864097639385,D1-D2,339,1.0,False,2.3740972402876745,3.14874902542481,5.60576454011466,7.081044373402421,1.2624242745258445,4,4
7,1007,6,True,908,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3632,334008,91.96255506607929,273,19.618678414096916,4.90466960352423,5.877709251101322,10896,0,10896,0.0,0.0,0.0,0.0,0.0,1.2260139859015617,1.7815750487798927,0.4301162633521313,0.4301162633521314,5.722147660318181,D1-D2,344,1.0,False,2.3926161183099577,3.1619453683632566,5.632991833599849,7.09109018752881,1.2646844580135643,4,4
8,1008,6,True,964,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3856,345540,89.6109958506224,273,19.11701244813278,4.779253112033195,5.639834024896266,11568,0,11568,0.0,0.0,0.0,0.0,0.0,1.1865162262472493,1.7490694830235554,0.4301162633521313,0.4301162633521314,4.183796024596831,D2-D4,444,1.0,False,2.5977840139388864,3.352827190105067,6.105150152564199,7.898919966829723,1.2955426370443306,4,4
9,1009,6,True,940,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3760,340068,90.4436170212766,273,19.294638297872343,4.823659574468085,5.7164255319148936,11280,0,11280,0.0,0.0,0.0,0.0,0.0,1.2396893077521316,1.831893082339623,0.4301162633521313,0.4301162633521314,4.5258893488867145,D2-D3,433,1.0,False,2.2904710384122446,3.0875067900864703,5.636438271505178,7.079763063399508,1.2769034669723496,4,4
10,1010,6,True,942,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,3768,346116,91.85668789808918,273,19.596093418259024,4.899023354564756,5.781401273885351,11304,0,11304,0.0,0.0,0.0,0.0,0.0,1.2406848734380398,1.8202157323014445,0.4301162633521313,0.4301162633521314,4.497638468765225,D1-D4,436,1.0,False,2.275515019634123,3.065405148284504,5.622960645638479,7.079957602192949,1.288886116745054,4,4
