run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
1,1001,5,True,972,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.20574183673749,D2-D3,491,1.0,False,1.1531850842977907,1.870322211056457,5.231271557151271,6.919424878403334,1.304013905076724,4,4
2,1002,5,True,940,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.097864681622325,D1-D4,514,1.0,False,1.1218487124098686,1.892344443516663,5.237421618471231,8.757906176248863,1.2622639493819372,4,4
3,1003,5,True,911,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0888443305082927,D3-D4,511,1.0,False,1.172782285074268,1.946089485879337,4.990746230857143,7.241481027518748,1.2538567563271685,4,4
4,1004,5,True,854,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.1492247159261484,D2-D3,468,1.0,False,1.2401256719489309,1.9360573958579985,4.661227664568375,5.846835870738103,1.210376200500654,4,4
5,1005,5,True,937,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.369339468305572,D1-D3,341,1.0,False,1.0120520368984451,1.6932021590625972,4.723874577339828,5.773736324894521,1.284379208968156,4,4
6,1006,5,True,936,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.048823812907142,D2-D3,517,1.0,False,1.2750246220139054,2.0936877509008314,5.313669084551298,8.469045006167569,1.262294893256287,4,4
7,1007,5,True,920,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.084453906233064,D1-D2,512,1.0,False,1.1510011842402732,1.922345979529817,5.191381470032422,8.088989439492169,1.2547749749562174,4,4
8,1008,5,True,934,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.106343985976832,D1-D2,514,1.0,False,1.0958050963356085,1.8974128151610294,5.280930917942588,8.454849654839165,1.26252960855273,4,4
9,1009,5,True,923,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0694388281141656,D1-D2,513,1.0,False,1.152970408261656,1.9281140011813722,5.192571123341744,8.137339459665217,1.2567473827527424,4,4
10,1010,5,True,871,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.070882129708998,D1-D2,483,1.0,False,1.2285115217153955,1.947798329410035,4.804672480556081,6.033884996372036,1.2206915317650933,4,4
11,1011,5,True,934,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.069136863810886,D1-D2,515,1.0,False,1.2499321907774692,2.0579947811477677,5.296895748168545,8.382377680482353,1.2629111183220973,4,4
12,1012,5,True,927,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0913135513358143,D1-D4,515,1.0,False,1.2749283248155654,2.093963683512142,5.26987551668666,8.378659107592815,1.2579203967621706,4,4
13,1013,5,True,925,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0702534869705382,D1-D4,516,1.0,False,1.1051819785073593,1.8708652034851898,5.168300288680777,8.225548425038648,1.2583981082099198,4,4
14,1014,5,True,927,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0697558423802755,D3-D4,515,1.0,False,1.1531655567361412,1.9233979069593792,5.226255555058216,8.298718170423493,1.259849985143561,4,4
15,1015,5,True,866,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.2051625429078254,D2-D3,467,1.0,False,1.1321044061157761,1.8122683659791525,4.453214145623035,5.229392510087512,1.2182148502225658,4,4
16,1016,5,True,933,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0800634046880937,D3-D4,513,1.0,False,1.189957024298165,1.977647619208259,5.316346756374218,8.592179130196618,1.2610126483395123,4,4
17,1017,5,True,956,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.243862193896857,D1-D3,358,1.0,False,0.8622528654700465,1.5726407059511227,4.6777898065827,5.921395107789555,1.288972966289025,4,4
18,1018,5,True,991,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,4.099303564740102,D3-D4,500,1.0,False,1.2405804271569068,1.977312818871828,5.507656173628436,7.6488816477691595,1.3095268799303166,4,4
19,1019,5,True,937,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.082892705569784,D3-D4,515,1.0,False,1.16186314377327,1.9264186837340669,5.257383023214183,8.642606159722707,1.263393157403056,4,4
20,1020,5,True,963,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.5115192217300937,D1-D4,502,1.0,False,1.0164251540812834,1.7578386239903097,4.983127584127066,7.234501938929604,1.2832614102686806,4,4
21,1021,5,True,919,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.03783225947948,D1-D2,515,1.0,False,1.0783741689211563,1.83633430997529,5.027778458540247,7.765082835337198,1.2572425024374585,4,4
22,1022,5,True,963,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.4086832429399476,D3-D4,498,1.0,False,1.0050744385056083,1.7435629053569426,4.973451866786743,7.191753667261013,1.2809110369472088,4,4
23,1023,5,True,937,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0405994063109474,D2-D3,516,1.0,False,1.2682519843418887,2.081800236798155,5.331812859355612,8.640824847968197,1.261483545478479,4,4
24,1024,5,True,933,False,20,10000,0.0,0.0,4,8.0,0.5,4.0,0.05,5,5,2.0622748439740297,D1-D2,513,1.0,False,1.1464353551853494,1.930716790402098,5.2631802665576775,8.346462957271878,1.2619862123754158,4,4
